날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스,"최종확정
여부"
(년-월-일),(㎍/㎥),(㎍/㎥),(ppm),(ppm),(ppm),(ppm),
2024-01-29,37,32,0.0211,0.0319,0.65,0.0032,N
2024-01-28,24,20,0.0271,0.0225,0.47,0.0028,N
2024-01-27,42,36,0.0235,0.0297,0.63,0.0034,N
2024-01-26,29,24,0.0150,0.0348,0.57,0.0031,N
2024-01-25,18,14,0.0227,0.0191,0.41,0.0032,N
2024-01-24,19,12,0.0275,0.0114,0.38,0.0031,N
2024-01-23,18,13,0.0268,0.0101,0.35,0.0029,N
2024-01-22,29,22,0.0269,0.0102,0.38,0.0026,N
2024-01-21,14,9,0.0273,0.0124,0.38,0.0024,N
2024-01-20,4,2,0.0295,0.0132,0.32,0.0024,N
2024-01-19,12,9,0.0263,0.0184,0.41,0.0025,N
2024-01-18,23,21,0.0131,0.0304,0.59,0.0031,N
2024-01-17,31,27,0.0022,0.0467,0.77,0.0034,N
2024-01-16,27,18,0.0089,0.0391,0.66,0.0036,N
2024-01-15,19,11,0.0249,0.0169,0.40,0.0034,N
2024-01-14,30,25,0.0104,0.0364,0.73,0.0032,N
2024-01-13,21,13,0.0161,0.0305,0.53,0.0035,N
2024-01-12,48,36,0.0228,0.0228,0.52,0.0032,N
2024-01-11,58,51,0.0074,0.0417,0.68,0.0033,N
2024-01-10,65,59,0.0048,0.0412,0.76,0.0032,N
2024-01-09,31,28,0.0024,0.0443,0.71,0.0032,N
2024-01-08,20,14,0.0100,0.0284,0.51,0.0032,N
2024-01-07,20,15,0.0260,0.0111,0.41,0.0030,N
2024-01-06,19,13,0.0265,0.0160,0.39,0.0030,N
2024-01-05,74,56,0.0186,0.0358,0.73,0.0034,N
2024-01-04,49,39,0.0136,0.0360,0.73,0.0034,N
2024-01-03,37,30,0.0230,0.0235,0.48,0.0029,N
2024-01-02,34,29,0.0240,0.0210,0.49,0.0027,N
2024-01-01,19,21,0.0124,0.0296,0.71,0.0031,N
2023-12-31,20,20,0.0179,0.0261,0.67,0.0028,N
2023-12-30,33,30,0.0099,0.0342,0.62,0.0029,N
2023-12-29,38,33,0.0103,0.0369,0.67,0.0034,N
2023-12-28,46,41,0.0082,0.0432,0.80,0.0038,N
2023-12-27,72,61,0.0038,0.0534,0.95,0.0038,N
2023-12-26,42,36,0.0070,0.0479,0.83,0.0035,N
2023-12-25,38,36,0.0122,0.0351,0.66,0.0029,N
2023-12-24,33,31,0.0071,0.0396,0.61,0.0030,N
2023-12-23,27,21,0.0079,0.0385,0.64,0.0030,N
2023-12-22,18,12,0.0248,0.0145,0.39,0.0027,N
2023-12-21,17,14,0.0250,0.0121,0.39,0.0027,N
2023-12-20,38,29,0.0265,0.0143,0.49,0.0028,N
2023-12-19,21,16,0.0063,0.0384,0.55,0.0028,N
2023-12-18,11,8,0.0200,0.0201,0.39,0.0026,N
2023-12-17,11,8,0.0295,0.0072,0.33,0.0025,N
2023-12-16,16,11,0.0303,0.0081,0.35,0.0025,N
2023-12-15,5,3,0.0218,0.0189,0.35,0.0024,N
2023-12-14,8,6,0.0116,0.0221,0.40,0.0025,N
2023-12-13,10,7,0.0040,0.0299,0.50,0.0027,N
2023-12-12,7,5,0.0159,0.0207,0.39,0.0025,N
2023-12-11,5,3,0.0226,0.0150,0.35,0.0024,N
2023-12-10,67,34,0.0233,0.0233,0.60,0.0030,N
2023-12-09,62,28,0.0432,0.0203,0.48,0.0030,N
2023-12-08,71,21,0.0300,0.0314,0.55,0.0033,N
2023-12-07,52,16,0.0192,0.0267,0.48,0.0034,N
2023-12-06,58,48,0.0079,0.0462,0.80,0.0037,N
2023-12-05,37,29,0.0093,0.0468,0.69,0.0036,N
2023-12-04,35,27,0.0060,0.0473,0.74,0.0035,N
2023-12-03,33,24,0.0196,0.0218,0.54,0.0035,N
2023-12-02,29,20,0.0115,0.0334,0.55,0.0032,N
2023-12-01,18,11,0.0193,0.0202,0.41,0.0029,N
2023-11-30,14,9,0.0241,0.0126,0.33,0.0027,N
2023-11-29,14,10,0.0177,0.0246,0.41,0.0029,N
2023-11-28,26,20,0.0247,0.0155,0.42,0.0028,N
2023-11-27,37,28,0.0114,0.0329,0.59,0.0028,N
2023-11-26,21,16,0.0126,0.0313,0.49,0.0028,N
2023-11-25,14,9,0.0190,0.0182,0.38,0.0028,Y
2023-11-24,13,9,0.0261,0.0100,0.31,0.0026,Y
2023-11-23,81,50,0.0293,0.0228,0.64,0.0032,Y
2023-11-22,34,27,0.0130,0.0436,0.67,0.0039,Y
2023-11-21,28,21,0.0066,0.0461,0.68,0.0037,Y
2023-11-20,26,18,0.0131,0.0298,0.55,0.0031,Y
2023-11-19,35,25,0.0209,0.0252,0.53,0.0031,Y
2023-11-18,18,14,0.0259,0.0108,0.36,0.0028,Y
2023-11-17,15,10,0.0203,0.0159,0.36,0.0029,Y
2023-11-16,44,38,0.0053,0.0394,0.67,0.0030,Y
2023-11-15,36,29,0.0101,0.0373,0.68,0.0031,Y
2023-11-14,22,15,0.0168,0.0273,0.49,0.0030,Y
2023-11-13,20,15,0.0188,0.0191,0.40,0.0028,Y
2023-11-12,16,11,0.0284,0.0088,0.34,0.0027,Y
2023-11-11,15,10,0.0199,0.0147,0.35,0.0029,Y
2023-11-10,13,9,0.0270,0.0089,0.32,0.0027,Y
2023-11-09,25,18,0.0137,0.0356,0.63,0.0034,Y
2023-11-08,20,12,0.0103,0.0363,0.58,0.0029,Y
2023-11-07,16,7,0.0292,0.0126,0.31,0.0024,Y
2023-11-06,17,7,0.0308,0.0101,0.35,0.0025,Y
2023-11-05,12,10,0.0249,0.0139,0.35,0.0025,Y
2023-11-04,40,17,0.0208,0.0166,0.41,0.0027,Y
2023-11-03,29,15,0.0367,0.0170,0.35,0.0029,Y
2023-11-02,35,20,0.0494,0.0163,0.39,0.0032,Y
2023-11-01,43,26,0.0438,0.0198,0.42,0.0030,Y
2023-10-31,39,28,0.0294,0.0288,0.52,0.0033,Y
2023-10-30,34,24,0.0272,0.0340,0.53,0.0034,Y
2023-10-29,25,17,0.0281,0.0228,0.46,0.0030,Y
2023-10-28,29,19,0.0155,0.0333,0.56,0.0033,Y
2023-10-27,23,16,0.0297,0.0185,0.48,0.0029,Y
2023-10-26,41,33,0.0362,0.0288,0.61,0.0033,Y
2023-10-25,29,22,0.0244,0.0333,0.58,0.0034,Y
2023-10-24,27,21,0.0230,0.0327,0.54,0.0032,Y
2023-10-23,24,16,0.0236,0.0306,0.51,0.0030,Y
2023-10-22,19,10,0.0218,0.0200,0.43,0.0028,Y
2023-10-21,13,7,0.0209,0.0158,0.38,0.0026,Y
2023-10-20,15,6,0.0276,0.0092,0.34,0.0027,Y
2023-10-19,26,19,0.0225,0.0313,0.53,0.0031,Y
2023-10-18,27,18,0.0257,0.0309,0.53,0.0035,Y
2023-10-17,28,14,0.0203,0.0300,0.48,0.0033,Y
2023-10-16,35,18,0.0378,0.0151,0.45,0.0032,Y
2023-10-15,19,14,0.0363,0.0180,0.50,0.0031,Y
2023-10-14,22,18,0.0166,0.0336,0.53,0.0030,Y
2023-10-13,29,21,0.0297,0.0344,0.54,0.0032,Y
2023-10-12,23,17,0.0296,0.0319,0.48,0.0031,Y
2023-10-11,21,15,0.0210,0.0311,0.47,0.0029,Y
2023-10-10,17,11,0.0237,0.0214,0.43,0.0027,Y
2023-10-09,9,5,0.0319,0.0153,0.33,0.0026,Y
2023-10-08,9,5,0.0284,0.0115,0.32,0.0025,Y
2023-10-07,18,11,0.0190,0.0233,0.42,0.0028,Y
2023-10-06,18,8,0.0226,0.0216,0.38,0.0028,Y
2023-10-05,24,6,0.0353,0.0083,0.30,0.0027,Y
2023-10-04,17,12,0.0326,0.0209,0.42,0.0029,Y
2023-10-03,17,12,0.0223,0.0229,0.43,0.0029,Y
2023-10-02,13,8,0.0295,0.0167,0.35,0.0027,Y
2023-10-01,21,8,0.0406,0.0083,0.32,0.0028,Y
2023-09-30,23,12,0.0440,0.0135,0.41,0.0029,Y
2023-09-29,24,15,0.0425,0.0126,0.46,0.0029,Y
2023-09-28,38,31,0.0574,0.0102,0.56,0.0028,Y
2023-09-27,7,4,0.0202,0.0162,0.35,0.0026,Y
2023-09-26,5,3,0.0169,0.0216,0.38,0.0026,Y
2023-09-25,10,6,0.0279,0.0197,0.35,0.0025,Y
2023-09-24,9,5,0.0362,0.0108,0.30,0.0024,Y
2023-09-23,15,9,0.0265,0.0194,0.37,0.0027,Y
2023-09-22,15,9,0.0238,0.0207,0.39,0.0029,Y
2023-09-21,8,3,0.0316,0.0135,0.32,0.0025,Y
2023-09-20,19,16,0.0327,0.0205,0.41,0.0028,Y
2023-09-19,23,18,0.0434,0.0200,0.38,0.0032,Y
2023-09-18,13,10,0.0343,0.0183,0.36,0.0034,Y
2023-09-17,12,10,0.0377,0.0133,0.36,0.0029,Y
2023-09-16,9,6,0.0181,0.0180,0.36,0.0027,Y
2023-09-15,8,4,0.0261,0.0163,0.33,0.0026,Y
2023-09-14,6,4,0.0304,0.0139,0.34,0.0027,Y
2023-09-13,19,15,0.0283,0.0239,0.43,0.0029,Y
2023-09-12,24,16,0.0443,0.0172,0.38,0.0029,Y
2023-09-11,22,17,0.0519,0.0156,0.36,0.0028,Y
2023-09-10,29,22,0.0539,0.0159,0.44,0.0033,Y
2023-09-09,24,15,0.0458,0.0161,0.40,0.0030,Y
2023-09-08,13,8,0.0417,0.0140,0.34,0.0027,Y
2023-09-07,15,10,0.0314,0.0184,0.39,0.0027,Y
2023-09-06,15,10,0.0247,0.0157,0.35,0.0027,Y
2023-09-05,14,9,0.0307,0.0150,0.32,0.0027,Y
2023-09-04,14,9,0.0201,0.0166,0.37,0.0028,Y
2023-09-03,14,11,0.0272,0.0125,0.37,0.0028,Y
2023-09-02,24,17,0.0397,0.0222,0.47,0.0030,Y
2023-09-01,20,13,0.0409,0.0153,0.43,0.0030,Y
2023-08-31,16,11,0.0344,0.0191,0.42,0.0031,Y
